index;adresse;telephone;nom_complet;saison;accessibilite;X_CC43;Y_CC43;X_WGS84;Y_WGS84
Chapou;rue Saunière 31000 TOULOUSE;05 61 21 93 87;PISCINE MUNICIPALE CHAPOU;Piscine d'été;;1572409.9577;2268826.9076;1.41943360540686;43.608748345925
Toulouse Lautrec;26 impasse Barthe 31200 TOULOUSE;05 61 13 33 17;PISCINE TOULOUSE LAUTREC;Piscine ouverte toute l'année;PMR;1574036.2292;2270948.3402;1.43908671599571;43.6281131791435
Alban Minville;63 allée de Bellefontaine 31100 TOULOUSE;05 61 44 32 17 / 05 61 59 11 22;PISCINE ALBAN MINVILLE;Piscine ouverte toute l'année;PMR;1570741.3572;2264070.6554;1.39989030100713;43.565661362519
Ancely;7 allée des Causses 31300 TOULOUSE;05 61 49 92 91;PISCINE ANCELY;Piscine d'été;;1570941.2884;2270002.6122;1.40096713091441;43.6190785556392
Papus;64 allée de Guyenne 31100 TOULOUSE;05 61 41 18 09;PISCINE PAPUS;Piscine ouverte toute l'année;PMR;1572170.3001;2265039.5506;1.41734923479701;43.5746243651702
Bellevue;86 chemin de la Salade Ponsan 31400 TOULOUSE;05 61 52 93 53;PISCINE BELLEVUE;Piscine ouverte toute l'année;;1575036.6713;2264201.7157;1.45302045985339;43.5675649369571
Léo Lagrange;4 place Pierre-Paul Riquet 31000 TOULOUSE;05 61 22 24 15;PISCINE LEO LAGRANGE;Piscine ouverte de septembre à juin;PMR;1575218.7497;2268618.2537;1.45426811354805;43.6073410006865
Nakache;7 allée Gabriel Biénès 31400 TOULOUSE;05 61 22 31 35 ou 05 61 22 30 14;PISCINE NAKACHE;Piscine ouverte de septembre à juin;;1573637.0612;2266195.3591;1.43523837195521;43.5852731317799
Castex;7 allée Gabriel Biénès 31400 TOULOUSE;05 61 22 31 35;PISCINE SPORTIVE CASTEX;Piscine ouverte toute l'année;PMR;1573568.611;2266289.5371;1.43436921272385;43.5861091897922
Pech David;Chemin des côtes de Pech David 31400 TOULOUSE;05 61 55 12 89;PISCINE PECH DAVID;Piscine ouverte toute l'année;PMR;1574529.9063;2263992.7223;1.4467962338899;43.5655999645039
Bellevue été;86 chemin de la Salade Ponsan 31400 TOULOUSE;05 61 52 93 53;PISCINE ETE BELLEVUE;Piscine d'été;PMR;1575098.4575;2264254.6756;1.4537731018386;43.5680517818255
Nakache été;7 allée Gabriel Biénès 31400 TOULOUSE;05 61 22 31 35 ou 05 61 22 30 14;PISCINE ETE PARC DES SPORTS;Piscine d'été;;1573654.7145;2266253.7132;1.43544346758596;43.5858012372674
Jany;chemin du Verdon 31500 Toulouse;05 81 91 78 56;PISICNE ALEX JANY;Piscine ouverte toute l'année;PMR;1577187.6488;2270398.7359;1.4782530644426;43.6236875592769
Jean Boiteux (complexe Job);105 route de Blagnac;05 61 54 86 60;PISCINE JEAN BOITEUX;Piscine ouverte toute l'année;PMR;1571450.8541;2269667.4228;1.40735783887476;43.6161492597017
